JARVIS-ID,Spg.number,Spg.Symbol,Composition,Spillage,SO_dir,SO_indir,NSO_di,NSO_indir,Dimesniolity ,mpid,Type,?1,?2,?3,?4,?5,?6,Indirgap QE(eV),Dirgap QE (eV),Dirgap WT (eV),Indirgap WT (eV),Dirgap WT-dense (eV)
JVASP-816,225,Fm-3m,Al,0.415,0,-16.812,0,-3.533,3D,,,,,,,,,,,,,
JVASP-25411,221,Pm-3m,C,0,0.004,-12.081,0,-12.084,3D,,,,,,,,,,,,,
JVASP-25413,229,Im-3m,Ge,1.132,0.114,-11.163,0,-11.554,3D,,,,,,,,,,,,,
JVASP-14696,229,Im-3m,Tl,0.442,0,-10.545,2.573,-0.541,3D,,,,,,,,,,,,,
JVASP-21200,229,Im-3m,Tl,0.442,0,-10.545,2.573,-0.541,3D,,,,,,,,,,,,,
JVASP-16730,225,Fm-3m,Ge,0.01,0.111,-10.31,0,-10.676,3D,,,,,,,,,,,,,
JVASP-25088,225,Fm-3m,Ge,0.01,0.111,-10.31,0,-10.676,3D,mp-12093,,0,0,0,0,0,0,-9.962,0.133,0.096,-10.234,0.096
JVASP-814,225,Fm-3m,Ag,0.005,0,-9.869,0,-1.167,3D,,,,,,,,,,,,,
JVASP-14606,225,Fm-3m,Ag,0.004,0,-9.352,0,-0.995,3D,,,,,,,,,,,,,
JVASP-813,225,Fm-3m,Ag,0.004,0,-9.352,0,-0.995,3D,,,,,,,,,,,,,
JVASP-812,225,Fm-3m,Ag,0.005,0,-9.262,0,-0.965,3D,,,,,,,,,,,,,
JVASP-36421,221,Pm-3m,ZrN,0.005,0,-8.962,0,-1.2,3D,,,,,,,,,,,,,
JVASP-25227,229,Im-3m,Bi,0.586,0,-8.896,0,-8.2,3D,,,,,,,,,,,,,
JVASP-25228,229,Im-3m,Bi,0.644,0,-8.875,0,-8.084,3D,,,,,,,,,,,,,
JVASP-25069,225,Fm-3m,Sn,0.064,0.268,-8.523,0,-9.279,3D,mp-1022725,,0,0,0,0,0,0,-8.34,0.236,0.088,-8.594,0.091
JVASP-14614,221,Pm-3m,Sb,0.366,0,-8.055,0,-6.686,3D,,,,,,,,,,,,,
JVASP-15021,221,Pm-3m,MgAg,0.054,0,-8.009,0,-4.991,3D,,,,,,,,,,,,,
JVASP-826,225,Fm-3m,Au,0.06,0,-7.863,0,-1.675,3D,,,,,,,,,,,,,
JVASP-41852,225,Fm-3m,LiBePd2,0.051,0,-7.732,0.024,-1.337,3D,,,,,,,,,,,,,
JVASP-15845,63,Cmcm,Ga,0.003,0,-7.668,0,-7.673,2D,,,,,,,,,,,,,
JVASP-20504,221,Pm-3m,Zg,0.093,0,-7.612,0,-4.207,3D,,,,,,,,,,,,,
